"sent_seq_id","X.AUTHID","binLabelScr","WhetherNeg","NegScr"
252,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.2,0,0
253,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.2,0,0
254,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.2,0,0
255,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0,0,0
256,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.2,0,0
257,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.2,0,0
258,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.2,0,0
259,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.4,0,0
260,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.6,0,0
261,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.6,0,0
262,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.2,0,0
263,"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",0.4,0,0
264,"b'http://blogs.zebra.com/big-data-and-the-retail-industry'",0.4,1,0.227
265,"b'http://blogs.zebra.com/big-data-and-the-retail-industry'",0.2,0,0
266,"b'http://blogs.zebra.com/big-data-and-the-retail-industry'",0.4,0,0
